Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
2848.0,-14272.0,-10240.0,4164.0,2121.0,1056.0,-0.0,-0.0,-0.0,2328.0,-13048.0,-9384.0,3632.0,-298.0,1605.0,-24.0,-171.0,38.0,0.51,9.78,1.61,-0.23,-0.08,0.38
64.0,-15736.0,-11968.0,1040.0,513.0,780.0,-0.0,-0.0,-0.0,784.0,-13400.0,-10072.0,1290.0,325.0,1583.0,-20.0,-182.0,34.0,-0.16,9.38,2.18,-0.08,-0.05,-0.05
600.0,-15832.0,-9584.0,1339.0,536.0,1024.0,-0.0,-0.0,-0.0,1536.0,-14408.0,-8848.0,374.0,1607.0,389.0,-14.0,-166.0,47.0,-0.89,9.67,1.78,0.08,-0.11,-0.35
512.0,-31424.0,-6120.0,128.0,-0.0,1163.0,-0.0,-0.0,-0.0,744.0,-15456.0,-5544.0,-1321.0,4773.0,2044.0,-19.0,-161.0,40.0,-2.05,9.29,0.97,0.11,-0.34,-0.41
512.0,-32496.0,-5104.0,256.0,97.0,652.0,-0.0,-0.0,-0.0,2312.0,-15912.0,-4768.0,412.0,807.0,589.0,-12.0,-161.0,23.0,-2.45,9.43,0.89,-0.04,-0.12,-0.18
2288.0,-31696.0,-6072.0,1120.0,-4092.0,1098.0,-0.0,-0.0,-0.0,2288.0,-15520.0,-6096.0,1813.0,-5250.0,-1194.0,-23.0,-157.0,27.0,-1.98,9.52,1.21,-0.23,0.49,0.01
-2016.0,-16248.0,-8144.0,2112.0,-5088.0,580.0,-0.0,-0.0,-0.0,-1656.0,-15792.0,-8504.0,1558.0,-3697.0,-816.0,-21.0,-155.0,31.0,-3.05,9.66,3.06,-0.1,-0.09,-0.04
-2024.0,-16128.0,-8064.0,40.0,8.0,931.0,-0.0,-0.0,-0.0,-696.0,-14416.0,-7096.0,-1779.0,5410.0,2029.0,-27.0,-157.0,32.0,-2.21,9.12,1.44,0.26,-0.4,-0.22
-1472.0,-32768.0,-6960.0,-2032.0,72.0,154.0,-0.0,-0.0,-0.0,-392.0,-15880.0,-6552.0,-2487.0,10044.0,3833.0,-7.0,-138.0,21.0,-2.15,9.41,1.18,0.48,-1.27,-0.22
2120.0,-31904.0,-6096.0,-1912.0,194.0,152.0,-0.0,-0.0,-0.0,3664.0,-15352.0,-6416.0,-1851.0,5638.0,2358.0,-10.0,-139.0,13.0,-1.81,10.22,0.55,0.31,-0.7,-0.07
17544.0,-15768.0,-4096.0,-0.0,1408.0,-4045.0,-0.0,-0.0,-0.0,17672.0,-15168.0,-2720.0,1314.0,-12256.0,-6096.0,3.0,-127.0,17.0,4.6,11.77,-1.8,-1.88,2.62,-0.34
128.0,-16864.0,-4072.0,-0.0,-32698.0,-16383.0,-0.0,-0.0,-0.0,2664.0,-17928.0,-4160.0,-91.0,-31153.0,-12976.0,-44.0,-127.0,32.0,-4.87,8.22,-1.84,-2.12,3.49,-0.28
256.0,-16784.0,520.0,158.0,-16384.0,-11392.0,-0.0,-0.0,-0.0,-6872.0,-16160.0,-5600.0,-774.0,-13247.0,-9599.0,-71.0,-144.0,25.0,-5.54,6.0,0.6,-0.87,1.55,-0.16
-20472.0,-18416.0,-9552.0,-960.0,3318.0,-1920.0,-0.0,-0.0,-0.0,-17712.0,-17144.0,-9904.0,-2757.0,8424.0,448.0,-94.0,-148.0,19.0,-9.24,5.01,6.1,1.4,-2.01,-0.12
-11376.0,-18432.0,1096.0,-6716.0,2192.0,2050.0,-0.0,-0.0,-0.0,-8232.0,-17696.0,-4040.0,-4941.0,24122.0,7121.0,-61.0,-142.0,13.0,-5.98,7.85,3.75,2.43,-3.14,0.14
200.0,-17720.0,-2720.0,1538.0,132.0,2050.0,-0.0,-0.0,-0.0,3256.0,-17544.0,-1456.0,-5283.0,22546.0,12029.0,-38.0,-120.0,2.0,-4.67,8.17,0.46,1.68,-2.3,0.2
1536.0,-16368.0,-3056.0,-3050.0,12992.0,1080.0,-0.0,-0.0,-0.0,8800.0,-14352.0,-1576.0,-1230.0,11203.0,9764.0,-2.0,-100.0,16.0,-3.34,8.34,-3.69,1.02,-1.28,0.17
12544.0,-30920.0,-8192.0,2218.0,268.0,530.0,-0.0,-0.0,-0.0,16800.0,-15528.0,-7232.0,3409.0,-962.0,2850.0,38.0,-115.0,-0.0,2.17,11.97,-5.33,-0.08,-0.11,0.11
12352.0,-16096.0,-6872.0,2147.0,2438.0,-7774.0,-0.0,-0.0,-0.0,12640.0,-15232.0,-6264.0,1801.0,-13265.0,-9159.0,12.0,-120.0,19.0,-0.95,11.09,-3.44,-1.42,2.0,-0.16
352.0,-32208.0,-1904.0,512.0,513.0,-14208.0,-0.0,-0.0,-0.0,3872.0,-17944.0,-2152.0,604.0,-20555.0,-14588.0,-7.0,-118.0,16.0,-4.78,8.78,-0.85,-2.44,2.98,-0.23
128.0,-18912.0,-1856.0,36.0,-23807.0,-16379.0,-0.0,-0.0,-0.0,-4536.0,-18080.0,-2264.0,2334.0,-24642.0,-12804.0,-64.0,-134.0,17.0,-5.93,6.59,2.25,-2.05,2.82,0.03
-11640.0,-17088.0,272.0,2881.0,-19344.0,-8184.0,-0.0,-0.0,-0.0,-12992.0,-16592.0,-5696.0,3275.0,-17959.0,-6274.0,-89.0,-150.0,21.0,-7.69,4.94,5.09,-1.09,1.67,0.07
-20344.0,-32704.0,-11056.0,19.0,1728.0,137.0,-0.0,-0.0,-0.0,-19000.0,-17800.0,-11016.0,1339.0,12767.0,7700.0,-96.0,-140.0,26.0,-7.36,8.26,6.64,1.22,-2.22,0.04
-8192.0,-19648.0,64.0,165.0,4424.0,896.0,-0.0,-0.0,-0.0,-4488.0,-18968.0,-3128.0,-4374.0,30570.0,14979.0,-65.0,-145.0,11.0,-5.94,8.48,0.24,2.23,-3.32,0.15
512.0,-32768.0,1712.0,-12768.0,5701.0,140.0,-0.0,-0.0,-0.0,4808.0,-17000.0,2504.0,-8018.0,27574.0,8446.0,-37.0,-114.0,20.0,-3.73,7.44,-2.15,1.85,-2.78,0.29
