Acc_X_1,Acc_Y_1,Acc_Z_1,Gyro_X_1,Gyro_Y_1,Gyro_Z_1,Mag_X_1,Mag_Y_1,Mag_Z_1,Acc_X_2,Acc_Y_2,Acc_Z_2,Gyro_X_2,Gyro_Y_2,Gyro_Z_2,Mag_X_2,Mag_Y_2,Mag_Z_2,Acc_X_3,Acc_Y_3,Acc_Z_3,Gyro_X_3,Gyro_Y_3,Gyro_Z_3
1288.0,-29776.0,-9728.0,-448.0,-512.0,1.0,64.0,-239.0,-253.0,1312.0,-13840.0,-9456.0,133.0,-791.0,-261.0,75.0,-233.0,-93.0,1.79,9.44,2.58,-0.1,0.04,0.0
96.0,-29760.0,-9472.0,-501.0,263.0,192.0,73.0,-240.0,-256.0,944.0,-13224.0,-9360.0,-421.0,186.0,300.0,89.0,-231.0,-88.0,1.87,9.26,2.63,-0.11,-0.01,0.01
32.0,-30064.0,-10240.0,-468.0,134.0,384.0,72.0,-255.0,-228.0,800.0,-13272.0,-9784.0,-194.0,305.0,283.0,90.0,-240.0,-92.0,2.12,9.36,2.74,-0.11,-0.01,0.02
1056.0,-29696.0,-9600.0,-224.0,646.0,133.0,65.0,-238.0,-256.0,1008.0,-13256.0,-9488.0,52.0,321.0,400.0,88.0,-230.0,-92.0,2.05,9.32,2.81,-0.11,-0.06,0.02
-0.0,-30176.0,-10176.0,-191.0,8.0,273.0,73.0,-254.0,-254.0,776.0,-13360.0,-9800.0,88.0,22.0,309.0,93.0,-237.0,-89.0,2.03,9.33,2.77,-0.11,-0.02,0.02
640.0,-29664.0,-9880.0,80.0,12.0,52.0,70.0,-237.0,-227.0,856.0,-13296.0,-9992.0,-91.0,270.0,144.0,94.0,-233.0,-88.0,2.2,9.33,2.83,-0.1,-0.03,0.01
8.0,-30208.0,-9920.0,-224.0,10.0,288.0,66.0,-256.0,-253.0,680.0,-13480.0,-9976.0,-207.0,146.0,365.0,87.0,-238.0,-93.0,2.14,9.32,2.88,-0.09,-0.02,-0.02
128.0,-30048.0,-9728.0,24.0,8.0,-628.0,72.0,-238.0,-231.0,696.0,-13520.0,-9808.0,-87.0,484.0,235.0,85.0,-240.0,-84.0,2.02,9.42,2.91,-0.08,-0.04,-0.04
560.0,-30712.0,-11480.0,-128.0,166.0,547.0,69.0,-232.0,-254.0,1032.0,-13456.0,-10744.0,-46.0,179.0,48.0,88.0,-240.0,-89.0,2.67,9.38,3.01,-0.04,-0.08,-0.11
8.0,-30704.0,-14224.0,900.0,1024.0,-1504.0,69.0,-231.0,-255.0,1992.0,-13344.0,-13520.0,158.0,-1333.0,-915.0,96.0,-238.0,-100.0,3.79,9.81,3.24,0.02,0.08,-0.4
32.0,-15600.0,-12288.0,80.0,1090.0,-2991.0,64.0,-256.0,-256.0,904.0,-10832.0,-11280.0,2.0,1176.0,-745.0,92.0,-231.0,-100.0,1.39,9.31,2.86,0.3,-0.0,-0.93
512.0,-30200.0,-6368.0,50.0,5411.0,1193.0,84.0,-256.0,-239.0,1872.0,-13328.0,-6168.0,151.0,4062.0,480.0,87.0,-241.0,-105.0,1.55,9.22,2.47,0.25,-0.37,-0.57
